total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
50,86400.000000000000,1,1,1,50,218.58991068499091,1,,15
64,86400.000000000000,1,1,2,14,172.94048878605679,1,,15
78,86400.000000000000,1,1,3,14,138.50950602035152,1,,15
92,86400.000000000000,1,1,4,14,110.07945693408254,1,,15
106,86400.000000000000,1,1,5,14,95.078609657637912,1,,15
120,86400.000000000000,1,1,6,14,74.683690567381404,1,,15
134,86400.000000000000,1,1,7,14,64.948442296378516,1,,15
148,86400.000000000000,1,1,8,14,56.537439874096023,1,,15
162,86400.000000000000,1,1,9,14,49.253587521758689,1,,15
176,86400.000000000000,1,1,10,14,42.934071272574911,1,,15
190,86400.000000000000,1,1,11,14,37.442983462128396,1,,15
204,86400.000000000000,1,1,12,14,32.665924728598796,1,,15
219,86400.000000000000,1,1,13,15,25.717537580425173,1,,15
233,86400.000000000000,1,1,14,14,-6.0330439076167011,1,,15
261,86400.000000000000,1,1,15,28,-0.76231600334031357,1,,537
277,86400.000000000000,1,1,16,16,-0.11303649485981815,1,,501
288,86400.000000000000,1,1,17,11,-0.19529943514340786E-1,1,,501
300,86400.000000000000,1,1,18,12,-0.35145856527716290E-2,1,,501
313,86400.000000000000,1,1,19,13,0.69230367691375250E-3,1,,15
327,86400.000000000000,1,1,20,14,0.22173744741849077E-3,1,,15
345,86400.000000000000,1,1,21,18,0.68943982313385277E-4,1,,15
356,86400.000000000000,1,1,22,11,0.20954269899675637E-4,1,,15
390,86400.000000000000,1,1,23,34,0.61900252603663830E-5,1,,15
406,86400.000000000000,1,1,24,16,0.18655537417089363E-5,1,,15
420,86400.000000000000,1,1,25,14,0.66357748096379510E-6,1,,15
441,86400.000000000000,1,1,26,21,0.23624062350791064E-6,1,,14
445,86400.000000000000,1,1,27,4,0.28876122826204664E-7,1,,1072
449,86400.000000000000,1,1,28,4,0.23329754128553759E-7,1,,1072
454,86400.000000000000,1,1,29,5,0.19262408557096933E-7,1,,622
460,86400.000000000000,1,1,30,6,0.16240328193362075E-7,1,,622
466,86400.000000000000,1,1,31,6,0.13822965883036886E-7,1,,986
472,86400.000000000000,1,1,32,6,0.13275197829898389E-7,1,,986
478,86400.000000000000,1,1,33,6,0.12493620360487512E-7,1,,987
485,86400.000000000000,1,1,34,7,0.11797410159886113E-7,1,,987
486,86400.000000000000,1,1,35,1,0.97058894255042105E-9,1,,987
